name,prompt,negative_prompt
散射光 Diffused Light,"diffused light style {prompt}. Light that is spread out and soft, often due to passing through a diffusing medium like clouds or a softbox. It creates an even, shadow - less illumination, giving a gentle and calming look to the scene","Direct, harsh light, strong, well - defined shadows, lighting that is concentrated and not spread out"
聚光 Spotlight,"spotlight style {prompt}. A focused beam of light that highlights a specific area or object, drawing the viewer's attention to it. The rest of the scene may be in relative darkness, creating a sense of importance and isolation for the lit subject","Even, widespread lighting, lack of a focused light beam, no areas of concentrated illumination"
光影对比 High - contrast Lighting,"high - contrast lighting style {prompt}. A significant difference between light and dark areas in the image, with bright highlights and deep shadows. It creates a bold, dramatic effect, emphasizing the form and volume of objects","Low - contrast lighting, evenly lit scenes with little difference between light and dark, lack of strong light - dark separation"
柔和阴影 Soft Shadows,"soft shadows style {prompt}. Shadows that are gently defined, with a gradual transition from light to dark. They add depth and dimension to the scene without being overly harsh, creating a more natural and appealing look","Harsh, well - defined shadows with sharp edges, no softening or gradual transition in shadow areas, overly strong shadow effects"
暖色调 Warm Tones,"warm tones style {prompt}. Dominant red, orange, and yellow hues, creating a cozy, inviting, and energetic atmosphere. Colors blend to evoke a sense of warmth, like the glow of a fireplace or a sunny summer day","Cold - toned colors, lack of warmth - associated hues, subdued and cool - feeling color palette"
冷色调 Cool Tones,"cool tones style {prompt}. Predominant blue, green, and purple shades, giving a calm, serene, and sometimes mysterious feel. Colors are often associated with cold environments, such as a deep - blue ocean or a moonlit night","Warm - toned colors, overly bright and energetic hues, absence of cool - color elements"
对比色 Contrasting Colors,"contrasting colors style {prompt}. Colors opposite each other on the color wheel, like red and green or blue and orange, used to create a strong visual impact. The contrast makes elements stand out, adding dynamism and tension to the image","Subtle color combinations, colors that are similar in hue, lack of high - contrast color pairings"
互补色 Complementary Colors,"complementary colors style {prompt}. Pairings of colors that enhance each other's intensity, such as yellow and violet. They create a vivid and harmonious effect when used together, making the overall image more vibrant","Dull color combinations, colors that clash without complementing, lack of complementary - color synergy"
单色调 Monochromatic Colors,"monochromatic colors style {prompt}. A single base color with variations in lightness and saturation. This results in a unified, harmonious look, where different shades of the same color blend seamlessly, like different tones of brown in a wooden interior","Multicolored, chaotic color schemes, presence of multiple distinct hues that disrupt the single - color harmony"
渐变色 Gradient Colors,"gradient colors style {prompt}. A smooth transition between two or more colors, which can be linear, radial, or angular. It adds depth, dimension, and a sense of movement to the image, like a sunset sky transitioning from orange to pink","Abrupt color changes, solid - colored areas without smooth transitions, lack of gradient - based color flow"
高饱和度 High Saturation,"high saturation style {prompt}. Vivid, intense colors that are pure and free from gray undertones. The image appears bold, energetic, and eye - catching, often used in advertising or to represent a lively, exciting subject","Low - saturation, muted colors, colors with a lot of gray dilution, lack of color intensity"
低饱和度 Low Saturation,"low saturation style {prompt}. Subdued, pastel - like colors with a significant amount of gray mixed in. It gives a soft, gentle, and sometimes nostalgic feel, suitable for creating a calm or vintage - looking atmosphere","High - saturation, bright and vivid colors, overly bold and intense color palettes"
明亮色彩 Bright Colors,"bright colors style {prompt}. Colors with high lightness values, making the image appear well - lit and full of energy. They can create a cheerful, positive mood, like a field of brightly - colored flowers in sunlight","Dark, muted colors, low - lightness hues, lack of brightness and energy in the color palette"
暗调色彩 Dark Tones,"dark tones style {prompt}. Predominantly black, dark brown, or deep - colored shades. It creates a sense of mystery, drama, or solemnity, often used in horror or serious - themed visuals, like a dimly - lit dungeon","Bright, light - colored palettes, lack of dark - hued elements, overly cheerful and light - filled color schemes"
